Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,143.7,123.4,20.38,0,85.82,3.89,8.36,30.11,37.16,4.269,2.547,6.817,37.37,23.4,58.2,83.68
COMP2,286.6,244.7,41.86,0,85.39,7.992,17.17,58.2,73.29,8.501,5.848,14.35,40.76,25.93,56.41,83.19
IHX,162.8,135,27.72,0,82.97,5.293,11.37,40.47,49.95,6.893,3.364,10.26,32.79,48.78,69.06,102.8
MOT1,151.3,143.7,7.565,0,95,1.444,3.104,27.52,30.11,1.376,0.9231,2.299,40.15,9.424,50.52,58.2
MOT2,301.7,286.6,15.08,0,95,2.879,6.188,54.87,58.2,2.743,0,2.743,0,6.07,50.52,56.41
SNK_HX,290.9,280.1,10.85,0,96.27,2.071,4.45,94.9,101.3,3.538,4.014,7.553,53.15,10.89,90.61,100.5
SRC_HX,70.86,51.46,19.4,0,72.62,3.704,7.96,-4.606e-14,6.507,-1.261e-14,2.223,2.223,100,inf,-1.806e-13,35.13
VAL1,12.04,,12.04,0,,2.299,4.941,3.199,,3.199,0,3.199,0,inf,73.77,
VAL2,88.84,,88.84,0,,16.96,36.45,28.35,,28.35,0,28.35,0,inf,88.63,
TOT,523.8,280.1,243.7,0,53.47,46.53,100,82.39,101.3,38.34,18.92,57.26,33.04,130,43.69,100.5
