Component,E_F [kW],E_P [kW],E_D [kW],E_L [kW],epsilon [%],y [%],y* [%],C_F [EUR/h],C_P [EUR/h],C_D [EUR/h],Z [EUR/h],C_D+Z [EUR/h],f [%],r [%],c_F [EUR/GJ],c_P [EUR/GJ]
COMP1,220.5,183.9,36.59,0,83.4,7.541,15.04,43.21,51.76,7.171,5.422,12.59,43.06,19.79,54.43,78.18
COMP2,229.7,194.1,35.61,0,84.5,7.339,14.63,45.02,55.43,6.978,7.371,14.35,51.37,23.14,54.43,79.32
IHX,128.4,103.4,24.96,0,80.56,5.143,10.25,59.85,66.11,11.64,4.127,15.76,26.18,37.11,129.5,177.6
MOT1,232.1,220.5,11.6,0,95,2.392,4.769,42.21,43.21,2.111,0,2.111,0,2.349,50.52,54.43
MOT2,241.8,229.7,12.09,0,95,2.492,4.968,43.98,45.02,2.199,0,2.199,0,2.349,50.52,54.43
SNK_HX,253.6,241.9,11.73,0,95.38,2.416,4.818,104.5,109.1,4.832,3.582,8.414,42.57,9.447,114.5,125.3
SRC_HX,22.81,9.77e-07,22.81,0,4.284e-06,4.7,9.372,24.28,28.62,24.28,2.385,26.67,8.943,inf,295.7,8.136e+09
VAL1,55.53,11.49,44.04,0,20.69,9.077,18.1,20.52,24.28,16.27,0,16.27,0,472,102.6,587
VAL2,43.92,,43.92,0,,9.052,18.05,17.04,,17.04,0,17.04,0,inf,107.8,
TOT,485.2,241.9,243.4,0,49.85,50.15,100,86.2,109.1,43.23,22.89,66.12,34.62,153.9,49.35,125.3
