f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,e1_c [EUR/MWh],c_P [EUR/GJ],Z_sum [EUR/h]
R1270,R600,R1270/R600,0.4,30.0,110.0,2.093,0.464,OK,180.0,124.422,21.432
R1270,R600,R1270/R600,0.4,30.0,110.0,2.093,0.464,OK,190.0,130.071,21.432
R1270,R600,R1270/R600,0.4,30.0,110.0,2.093,0.464,OK,200.0,135.721,21.432
R1270,R600,R1270/R600,0.4,40.0,110.0,2.262,0.444,OK,100.0,73.933,20.403
R1270,R600,R1270/R600,0.4,40.0,110.0,2.262,0.444,OK,110.0,79.162,20.403
R1270,R600,R1270/R600,0.4,40.0,110.0,2.262,0.444,OK,120.0,84.391,20.403
R1270,R600,R1270/R600,0.4,40.0,110.0,2.262,0.444,OK,130.0,89.62,20.403
R1270,R600,R1270/R600,0.4,40.0,110.0,2.262,0.444,OK,140.0,94.848,20.403
R1270,R600,R1270/R600,0.4,40.0,110.0,2.262,0.444,OK,150.0,100.077,20.403
R1270,R600,R1270/R600,0.4,40.0,110.0,2.262,0.444,OK,160.0,105.306,20.403
R1270,R600,R1270/R600,0.4,40.0,110.0,2.262,0.444,OK,170.0,110.535,20.403
R1270,R600,R1270/R600,0.4,40.0,110.0,2.262,0.444,OK,180.0,115.764,20.403
R1270,R600,R1270/R600,0.4,40.0,110.0,2.262,0.444,OK,190.0,120.993,20.403
R1270,R600,R1270/R600,0.4,40.0,110.0,2.262,0.444,OK,200.0,126.222,20.403
R1270,R600,R1270/R600,0.5,20.0,110.0,1.92,0.473,OK,100.0,84.593,21.683
R1270,R600,R1270/R600,0.5,20.0,110.0,1.92,0.473,OK,110.0,90.753,21.683
R1270,R600,R1270/R600,0.5,20.0,110.0,1.92,0.473,OK,120.0,96.912,21.683
R1270,R600,R1270/R600,0.5,20.0,110.0,1.92,0.473,OK,130.0,103.071,21.683
R1270,R600,R1270/R600,0.5,20.0,110.0,1.92,0.473,OK,140.0,109.23,21.683
R1270,R600,R1270/R600,0.5,20.0,110.0,1.92,0.473,OK,150.0,115.39,21.683
R1270,R600,R1270/R600,0.5,20.0,110.0,1.92,0.473,OK,160.0,121.549,21.683
R1270,R600,R1270/R600,0.5,20.0,110.0,1.92,0.473,OK,170.0,127.708,21.683
R1270,R600,R1270/R600,0.5,20.0,110.0,1.92,0.473,OK,180.0,133.868,21.683
R1270,R600,R1270/R600,0.5,20.0,110.0,1.92,0.473,OK,190.0,140.027,21.683
R1270,R600,R1270/R600,0.5,20.0,110.0,1.92,0.473,OK,200.0,146.186,21.683
R1270,R600,R1270/R600,0.5,30.0,110.0,2.052,0.454,OK,100.0,79.544,20.665
R1270,R600,R1270/R600,0.5,30.0,110.0,2.052,0.454,OK,110.0,85.307,20.665
R1270,R600,R1270/R600,0.5,30.0,110.0,2.052,0.454,OK,120.0,91.069,20.665
R1270,R600,R1270/R600,0.5,30.0,110.0,2.052,0.454,OK,130.0,96.832,20.665
R1270,R600,R1270/R600,0.5,30.0,110.0,2.052,0.454,OK,140.0,102.594,20.665
R1270,R600,R1270/R600,0.5,30.0,110.0,2.052,0.454,OK,150.0,108.356,20.665
R1270,R600,R1270/R600,0.5,30.0,110.0,2.052,0.454,OK,160.0,114.119,20.665
R1270,R600,R1270/R600,0.5,30.0,110.0,2.052,0.454,OK,170.0,119.881,20.665
R1270,R600,R1270/R600,0.5,30.0,110.0,2.052,0.454,OK,180.0,125.644,20.665
R1270,R600,R1270/R600,0.5,30.0,110.0,2.052,0.454,OK,190.0,131.406,20.665
R1270,R600,R1270/R600,0.5,30.0,110.0,2.052,0.454,OK,200.0,137.168,20.665
R1270,R600a,R1270/R600a,0.3,20.0,110.0,1.801,0.443,OK,100.0,87.804,20.888
R1270,R600a,R1270/R600a,0.3,20.0,110.0,1.801,0.443,OK,110.0,94.368,20.888
R1270,R600a,R1270/R600a,0.3,20.0,110.0,1.801,0.443,OK,120.0,100.933,20.888
R1270,R600a,R1270/R600a,0.3,20.0,110.0,1.801,0.443,OK,130.0,107.497,20.888
R1270,R600a,R1270/R600a,0.3,20.0,110.0,1.801,0.443,OK,140.0,114.062,20.888
R1270,R600a,R1270/R600a,0.3,20.0,110.0,1.801,0.443,OK,150.0,120.627,20.888
R1270,R600a,R1270/R600a,0.3,20.0,110.0,1.801,0.443,OK,160.0,127.191,20.888
R1270,R600a,R1270/R600a,0.3,20.0,110.0,1.801,0.443,OK,170.0,133.756,20.888
R1270,R600a,R1270/R600a,0.3,20.0,110.0,1.801,0.443,OK,180.0,140.321,20.888
R1270,R600a,R1270/R600a,0.3,20.0,110.0,1.801,0.443,OK,190.0,146.885,20.888
R1270,R600a,R1270/R600a,0.3,20.0,110.0,1.801,0.443,OK,200.0,153.45,20.888
R1270,R600a,R1270/R600a,0.3,30.0,110.0,1.967,0.434,OK,100.0,81.047,19.74
R1270,R600a,R1270/R600a,0.3,30.0,110.0,1.967,0.434,OK,110.0,87.057,19.74
R1270,R600a,R1270/R600a,0.3,30.0,110.0,1.967,0.434,OK,120.0,93.068,19.74
R1270,R600a,R1270/R600a,0.3,30.0,110.0,1.967,0.434,OK,130.0,99.079,19.74
R1270,R600a,R1270/R600a,0.3,30.0,110.0,1.967,0.434,OK,140.0,105.09,19.74
R1270,R600a,R1270/R600a,0.3,30.0,110.0,1.967,0.434,OK,150.0,111.1,19.74
R1270,R600a,R1270/R600a,0.3,30.0,110.0,1.967,0.434,OK,160.0,117.111,19.74
R1270,R600a,R1270/R600a,0.3,30.0,110.0,1.967,0.434,OK,170.0,123.122,19.74
R1270,R600a,R1270/R600a,0.3,30.0,110.0,1.967,0.434,OK,180.0,129.132,19.74
R1270,R600a,R1270/R600a,0.3,30.0,110.0,1.967,0.434,OK,190.0,135.143,19.74
R1270,R600a,R1270/R600a,0.3,30.0,110.0,1.967,0.434,OK,200.0,141.154,19.74
R1270,R600a,R1270/R600a,0.3,40.0,110.0,2.157,0.422,OK,100.0,74.711,18.755
R1270,R600a,R1270/R600a,0.3,40.0,110.0,2.157,0.422,OK,110.0,80.193,18.755
R1270,R600a,R1270/R600a,0.3,40.0,110.0,2.157,0.422,OK,120.0,85.675,18.755
R1270,R600a,R1270/R600a,0.3,40.0,110.0,2.157,0.422,OK,130.0,91.157,18.755
R1270,R600a,R1270/R600a,0.3,40.0,110.0,2.157,0.422,OK,140.0,96.638,18.755
R1270,R600a,R1270/R600a,0.3,40.0,110.0,2.157,0.422,OK,150.0,102.12,18.755
R1270,R600a,R1270/R600a,0.3,40.0,110.0,2.157,0.422,OK,160.0,107.602,18.755
R1270,R600a,R1270/R600a,0.3,40.0,110.0,2.157,0.422,OK,170.0,113.083,18.755
R1270,R600a,R1270/R600a,0.3,40.0,110.0,2.157,0.422,OK,180.0,118.565,18.755
R1270,R600a,R1270/R600a,0.3,40.0,110.0,2.157,0.422,OK,190.0,124.047,18.755
R1270,R600a,R1270/R600a,0.3,40.0,110.0,2.157,0.422,OK,200.0,129.528,18.755
R1270,R600a,R1270/R600a,0.3,50.0,110.0,2.372,0.405,OK,100.0,68.844,17.91
R1270,R600a,R1270/R600a,0.3,50.0,110.0,2.372,0.405,OK,110.0,73.828,17.91
R1270,R600a,R1270/R600a,0.3,50.0,110.0,2.372,0.405,OK,120.0,78.813,17.91
R1270,R600a,R1270/R600a,0.3,50.0,110.0,2.372,0.405,OK,130.0,83.797,17.91
R1270,R600a,R1270/R600a,0.3,50.0,110.0,2.372,0.405,OK,140.0,88.782,17.91
R1270,R600a,R1270/R600a,0.3,50.0,110.0,2.372,0.405,OK,150.0,93.767,17.91
R1270,R600a,R1270/R600a,0.3,50.0,110.0,2.372,0.405,OK,160.0,98.751,17.91
R1270,R600a,R1270/R600a,0.3,50.0,110.0,2.372,0.405,OK,170.0,103.736,17.91
R1270,R600a,R1270/R600a,0.3,50.0,110.0,2.372,0.405,OK,180.0,108.72,17.91
R1270,R600a,R1270/R600a,0.3,50.0,110.0,2.372,0.405,OK,190.0,113.705,17.91
R1270,R600a,R1270/R600a,0.3,50.0,110.0,2.372,0.405,OK,200.0,118.689,17.91
R1270,R600a,R1270/R600a,0.4,20.0,110.0,1.851,0.456,OK,100.0,85.156,20.045
R1270,R600a,R1270/R600a,0.4,20.0,110.0,1.851,0.456,OK,110.0,91.546,20.045
R1270,R600a,R1270/R600a,0.4,20.0,110.0,1.851,0.456,OK,120.0,97.935,20.045
R1270,R600a,R1270/R600a,0.4,20.0,110.0,1.851,0.456,OK,130.0,104.324,20.045
R1270,R600a,R1270/R600a,0.4,20.0,110.0,1.851,0.456,OK,140.0,110.714,20.045
R1270,R600a,R1270/R600a,0.4,20.0,110.0,1.851,0.456,OK,150.0,117.103,20.045
R1270,R600a,R1270/R600a,0.4,20.0,110.0,1.851,0.456,OK,160.0,123.492,20.045
R1270,R600a,R1270/R600a,0.4,20.0,110.0,1.851,0.456,OK,170.0,129.882,20.045
R1270,R600a,R1270/R600a,0.4,20.0,110.0,1.851,0.456,OK,180.0,136.271,20.045
R1270,R600a,R1270/R600a,0.4,20.0,110.0,1.851,0.456,OK,190.0,142.66,20.045
R1270,R600a,R1270/R600a,0.4,20.0,110.0,1.851,0.456,OK,200.0,149.05,20.045
R1270,R600a,R1270/R600a,0.4,30.0,110.0,2.001,0.442,OK,100.0,79.33,19.071
R1270,R600a,R1270/R600a,0.4,30.0,110.0,2.001,0.442,OK,110.0,85.24,19.071
R1270,R600a,R1270/R600a,0.4,30.0,110.0,2.001,0.442,OK,120.0,91.15,19.071
R1270,R600a,R1270/R600a,0.4,30.0,110.0,2.001,0.442,OK,130.0,97.06,19.071
R1270,R600a,R1270/R600a,0.4,30.0,110.0,2.001,0.442,OK,140.0,102.97,19.071
R1270,R600a,R1270/R600a,0.4,30.0,110.0,2.001,0.442,OK,150.0,108.88,19.071
R1270,R600a,R1270/R600a,0.4,30.0,110.0,2.001,0.442,OK,160.0,114.79,19.071
R1270,R600a,R1270/R600a,0.4,30.0,110.0,2.001,0.442,OK,170.0,120.7,19.071
R1270,R600a,R1270/R600a,0.4,30.0,110.0,2.001,0.442,OK,180.0,126.61,19.071
R1270,R600a,R1270/R600a,0.4,30.0,110.0,2.001,0.442,OK,190.0,132.52,19.071
R1270,R600a,R1270/R600a,0.4,30.0,110.0,2.001,0.442,OK,200.0,138.43,19.071
R1270,R600a,R1270/R600a,0.4,40.0,110.0,2.17,0.425,OK,100.0,73.84,18.237
R1270,R600a,R1270/R600a,0.4,40.0,110.0,2.17,0.425,OK,110.0,79.29,18.237
R1270,R600a,R1270/R600a,0.4,40.0,110.0,2.17,0.425,OK,120.0,84.739,18.237
R1270,R600a,R1270/R600a,0.4,40.0,110.0,2.17,0.425,OK,130.0,90.189,18.237
R1270,R600a,R1270/R600a,0.4,40.0,110.0,2.17,0.425,OK,140.0,95.638,18.237
R1270,R600a,R1270/R600a,0.4,40.0,110.0,2.17,0.425,OK,150.0,101.088,18.237
R1270,R600a,R1270/R600a,0.4,40.0,110.0,2.17,0.425,OK,160.0,106.537,18.237
R1270,R600a,R1270/R600a,0.4,40.0,110.0,2.17,0.425,OK,170.0,111.987,18.237
R1270,R600a,R1270/R600a,0.4,40.0,110.0,2.17,0.425,OK,180.0,117.436,18.237
R1270,R600a,R1270/R600a,0.4,40.0,110.0,2.17,0.425,OK,190.0,122.886,18.237
R1270,R600a,R1270/R600a,0.4,40.0,110.0,2.17,0.425,OK,200.0,128.335,18.237
R1270,R600a,R1270/R600a,0.5,20.0,110.0,1.855,0.457,OK,100.0,84.337,19.413
R1270,R600a,R1270/R600a,0.5,20.0,110.0,1.855,0.457,OK,110.0,90.711,19.413
R1270,R600a,R1270/R600a,0.5,20.0,110.0,1.855,0.457,OK,120.0,97.086,19.413
R1270,R600a,R1270/R600a,0.5,20.0,110.0,1.855,0.457,OK,130.0,103.46,19.413
R1270,R600a,R1270/R600a,0.5,20.0,110.0,1.855,0.457,OK,140.0,109.834,19.413
R1270,R600a,R1270/R600a,0.5,20.0,110.0,1.855,0.457,OK,150.0,116.209,19.413
R1270,R600a,R1270/R600a,0.5,20.0,110.0,1.855,0.457,OK,160.0,122.583,19.413
R1270,R600a,R1270/R600a,0.5,20.0,110.0,1.855,0.457,OK,170.0,128.958,19.413
R1270,R600a,R1270/R600a,0.5,20.0,110.0,1.855,0.457,OK,180.0,135.332,19.413
R1270,R600a,R1270/R600a,0.5,20.0,110.0,1.855,0.457,OK,190.0,141.706,19.413
