f1,f2,pair,ls,T_src,T_steam,COP,eta_Lorenz,V_envelope,Q_H_kW,c_P [EUR/GJ],Z_sum [EUR/h],PEC_total [kEUR],PEC [EUR/kW],V_dot_c1 [m3/h],V_dot_c2 [m3/h],E_F [kW],E_P [kW],E_D [kW],epsilon
R717,R600,R717/R600,0.5,60.0,110.0,3.007,0.44,OK,1114.8,80.881,17.302,836.1,749.9,258.4,638.1,530.73,261.87,187.88,0.493
R717,R600a,R717/R600a,0.5,60.0,110.0,2.914,0.426,OK,1114.8,81.257,15.766,761.8,683.4,253.3,574.3,542.62,261.87,198.79,0.483
R717,R600,R717/R600,0.4,60.0,110.0,2.999,0.439,OK,1114.8,81.486,17.714,856.0,767.8,249.4,718.8,531.72,261.87,188.79,0.492
R717,R600a,R717/R600a,0.4,60.0,110.0,2.882,0.421,OK,1114.8,82.265,16.056,775.8,695.9,243.2,646.9,546.77,261.87,202.6,0.479
R717,R600,R717/R600,0.3,60.0,110.0,2.973,0.435,OK,1114.8,82.532,18.178,878.4,787.9,240.3,811.1,535.0,261.87,191.81,0.489
R717,R600a,R717/R600a,0.3,60.0,110.0,2.832,0.413,OK,1114.8,83.776,16.387,791.8,710.3,232.8,729.6,553.65,261.87,208.9,0.473
R717,R600,R717/R600,0.5,50.0,110.0,2.702,0.464,OK,1114.8,88.761,18.069,873.1,783.2,309.7,718.8,505.75,261.87,205.88,0.518
R290,R600,R290/R600,0.3,60.0,110.0,2.761,0.402,OK,1114.8,89.112,19.816,957.6,858.9,440.7,811.1,563.71,261.87,218.13,0.465
R717,R600a,R717/R600a,0.5,50.0,110.0,2.611,0.448,OK,1114.8,89.417,16.418,793.4,711.6,301.9,646.9,520.02,261.87,219.34,0.504
R717,R600,R717/R600,0.4,50.0,110.0,2.684,0.461,OK,1114.8,89.796,18.612,899.4,806.7,296.6,831.2,508.47,261.87,208.45,0.515
R290,R600a,R290/R600a,0.3,60.0,110.0,2.645,0.385,OK,1114.8,89.96,17.796,859.9,771.4,427.2,729.6,581.45,261.87,234.37,0.45
R290,R600,R290/R600,0.4,60.0,110.0,2.698,0.393,OK,1114.8,90.326,19.451,939.9,843.1,481.3,718.8,573.21,261.87,226.83,0.457
R290,R600a,R290/R600a,0.4,60.0,110.0,2.609,0.379,OK,1114.8,90.688,17.562,848.6,761.2,469.4,646.9,587.24,261.87,239.67,0.446
R717,R600a,R717/R600a,0.4,50.0,110.0,2.57,0.44,OK,1114.8,90.983,16.801,811.8,728.2,287.1,747.5,526.9,261.87,225.83,0.497
R717,R600,R717/R600,0.3,50.0,110.0,2.646,0.454,OK,1114.8,91.452,19.234,929.4,833.7,283.2,963.9,514.38,261.87,214.02,0.509
R717,R600a,R717/R600a,0.3,50.0,110.0,2.508,0.429,OK,1114.8,93.266,17.246,833.3,747.5,271.6,865.5,537.64,261.87,235.95,0.487
R1270,R600,R1270/R600,0.3,50.0,110.0,2.49,0.426,OK,1114.8,96.806,20.079,970.2,870.3,411.0,963.9,540.81,261.87,238.94,0.484
R717,R600,R717/R600,0.5,40.0,110.0,2.45,0.482,OK,1114.8,96.872,18.967,916.5,822.1,376.5,811.1,498.97,261.87,225.42,0.525
R290,R600,R290/R600,0.3,50.0,110.0,2.51,0.429,OK,1114.8,96.968,20.784,1004.3,900.9,485.2,963.9,537.33,261.87,235.66,0.487
R290,R600,R290/R600,0.4,50.0,110.0,2.475,0.423,OK,1114.8,97.473,20.278,979.9,879.0,535.0,831.2,543.51,261.87,241.49,0.482
R717,R600a,R717/R600a,0.5,40.0,110.0,2.363,0.464,OK,1114.8,97.805,17.186,830.5,744.9,364.8,729.6,515.71,261.87,241.67,0.508
R290,R600a,R290/R600a,0.4,50.0,110.0,2.384,0.407,OK,1114.8,98.225,18.231,881.0,790.2,518.1,747.5,560.84,261.87,257.81,0.467
R1270,R600a,R1270/R600a,0.3,50.0,110.0,2.372,0.405,OK,1114.8,98.253,17.91,865.4,776.3,394.6,865.5,563.03,261.87,259.86,0.465
R290,R600a,R290/R600a,0.3,50.0,110.0,2.39,0.408,OK,1114.8,98.375,18.563,897.0,804.6,465.6,865.5,559.65,261.87,256.68,0.468
R717,R600,R717/R600,0.4,40.0,110.0,2.424,0.477,OK,1114.8,98.426,19.661,950.1,852.2,357.7,963.9,503.82,261.87,230.13,0.52
R290,R600,R290/R600,0.5,50.0,110.0,2.396,0.409,OK,1114.8,99.567,19.869,960.1,861.2,592.5,718.8,558.5,261.87,255.6,0.469
R290,R600a,R290/R600a,0.5,50.0,110.0,2.33,0.397,OK,1114.8,99.763,17.982,868.9,779.4,578.1,646.9,571.53,261.87,267.87,0.458
R717,R600a,R717/R600a,0.4,40.0,110.0,2.313,0.454,OK,1114.8,100.034,17.675,854.1,766.1,343.0,865.5,525.85,261.87,251.51,0.498
R717,R600,R717/R600,0.3,40.0,110.0,2.377,0.467,OK,1114.8,100.817,20.468,989.0,887.2,338.0,1150.5,512.92,261.87,238.97,0.511
R717,R600a,R717/R600a,0.3,40.0,110.0,2.242,0.44,OK,1114.8,103.237,18.253,882.0,791.2,320.1,1030.2,541.21,261.87,266.4,0.484
R1270,R600,R1270/R600,0.4,40.0,110.0,2.262,0.444,OK,1114.8,104.784,20.403,985.9,884.4,506.2,963.9,536.85,261.87,262.18,0.488
R1270,R600,R1270/R600,0.3,40.0,110.0,2.277,0.447,OK,1114.8,104.992,21.145,1021.8,916.5,454.9,1150.5,533.42,261.87,258.85,0.491
R290,R600,R290/R600,0.4,40.0,110.0,2.276,0.447,OK,1114.8,105.143,21.233,1026.0,920.3,604.9,963.9,533.76,261.87,259.18,0.491
R717,R600,R717/R600,0.5,30.0,110.0,2.238,0.497,OK,1114.8,105.238,20.023,967.5,867.9,465.2,917.1,511.48,261.87,246.62,0.512
R290,R600,R290/R600,0.3,40.0,110.0,2.287,0.449,OK,1114.8,105.456,21.902,1058.3,949.3,542.6,1150.5,531.41,261.87,256.9,0.493
R1270,R600a,R1270/R600a,0.4,40.0,110.0,2.17,0.425,OK,1114.8,105.992,18.237,881.2,790.5,486.1,865.5,557.64,261.87,282.33,0.47
